Date,Time,AvgTemp,AvgHum,S1Temp,S1Hum,S2Temp,S2Hum,S3Temp,S3Hum
12/18/2019, 00:03:58 , 21.07,21.53,21.00,22.60,21.00,20.90,21.20,21.10
12/18/2019, 00:09:10 , 21.07,21.57,21.00,22.60,21.00,21.00,21.20,21.10
12/18/2019, 00:14:21 , 21.00,21.50,20.90,22.50,20.90,20.90,21.20,21.10
12/18/2019, 00:19:33 , 21.03,21.53,20.90,22.60,21.00,20.90,21.20,21.10
12/18/2019, 00:24:45 , 21.00,21.47,20.90,22.50,20.90,20.80,21.20,21.10
12/18/2019, 00:29:56 , 21.03,21.53,20.90,22.60,21.00,20.90,21.20,21.10
12/18/2019, 00:35:08 , 21.03,21.53,20.90,22.60,21.00,20.90,21.20,21.10
12/18/2019, 00:40:20 , 21.03,21.43,20.90,22.50,21.00,20.80,21.20,21.00
12/18/2019, 00:45:31 , 21.00,21.43,20.90,22.50,20.90,20.80,21.20,21.00
12/18/2019, 00:50:46 , 21.03,21.47,20.90,22.50,21.00,20.90,21.20,21.00
12/18/2019, 00:55:57 , 21.00,21.43,20.90,22.50,20.90,20.80,21.20,21.00
12/18/2019, 01:01:09 , 21.00,21.43,20.90,22.50,20.90,20.80,21.20,21.00
12/18/2019, 01:06:21 , 21.03,21.43,20.90,22.50,21.00,20.80,21.20,21.00
12/18/2019, 01:11:32 , 21.00,21.37,20.90,22.40,20.90,20.70,21.20,21.00
12/18/2019, 01:16:44 , 21.00,21.23,20.90,22.30,20.90,20.60,21.20,20.80
12/18/2019, 01:21:56 , 21.00,21.37,20.90,22.40,20.90,20.70,21.20,21.00
12/18/2019, 01:27:07 , 21.00,21.33,20.90,22.40,20.90,20.70,21.20,20.90
12/18/2019, 01:32:19 , 21.00,21.40,20.90,22.50,20.90,20.70,21.20,21.00
12/18/2019, 01:37:33 , 21.00,21.43,20.90,22.50,20.90,20.80,21.20,21.00
12/18/2019, 01:42:45 , 21.00,21.53,20.90,22.60,20.90,20.90,21.20,21.10
12/18/2019, 01:47:57 , 21.00,21.37,20.90,22.40,20.90,20.70,21.20,21.00
12/18/2019, 01:53:08 , 21.00,21.43,20.90,22.50,20.90,20.80,21.20,21.00
12/18/2019, 01:58:20 , 21.00,21.27,20.90,22.30,20.90,20.60,21.20,20.90
12/18/2019, 02:03:32 , 21.00,21.17,20.90,22.20,20.90,20.50,21.20,20.80
12/18/2019, 02:08:43 , 21.00,21.10,20.90,22.20,20.90,20.40,21.20,20.70
12/18/2019, 02:13:55 , 21.00,20.87,20.90,22.00,20.90,20.10,21.20,20.50
12/18/2019, 02:19:07 , 20.93,20.73,20.80,21.80,20.90,20.00,21.10,20.40
12/18/2019, 02:24:19 , 20.97,20.70,20.80,21.80,20.90,20.00,21.20,20.30
12/18/2019, 02:29:30 , 20.97,20.63,20.90,21.80,20.90,19.90,21.10,20.20
12/18/2019, 02:34:42 , 20.93,20.47,20.80,21.60,20.90,19.70,21.10,20.10
12/18/2019, 02:39:54 , 21.00,20.47,20.90,21.60,20.90,19.70,21.20,20.10
12/18/2019, 02:45:05 , 21.00,20.27,20.90,21.40,20.90,19.50,21.20,19.90
12/18/2019, 02:50:17 , 20.97,20.30,20.90,21.50,20.90,19.50,21.10,19.90
12/18/2019, 02:55:29 , 21.00,20.23,20.90,21.40,20.90,19.40,21.20,19.90
12/18/2019, 03:00:40 , 21.00,20.23,20.90,21.40,20.90,19.40,21.20,19.90
12/18/2019, 03:05:52 , 21.00,20.13,20.90,21.30,20.90,19.30,21.20,19.80
12/18/2019, 03:11:04 , 21.00,20.00,20.90,21.20,21.00,19.20,21.10,19.60
12/18/2019, 03:16:16 , 21.00,20.00,20.90,21.20,20.90,19.10,21.20,19.70
12/18/2019, 03:21:27 , 21.00,19.93,20.90,21.10,20.90,19.10,21.20,19.60
12/18/2019, 03:26:41 , 21.00,19.83,20.90,21.00,20.90,19.00,21.20,19.50
12/18/2019, 03:31:53 , 20.97,19.83,20.90,21.00,20.90,19.00,21.10,19.50
12/18/2019, 03:37:05 , 21.00,19.73,20.90,20.90,20.90,18.90,21.20,19.40
12/18/2019, 03:42:17 , 21.00,19.67,20.90,20.90,20.90,18.80,21.20,19.30
12/18/2019, 03:47:28 , 21.00,19.63,20.90,20.90,20.90,18.70,21.20,19.30
12/18/2019, 03:52:40 , 20.97,19.57,20.90,20.80,20.90,18.70,21.10,19.20
